IDS_CLIENT_PATCHCLIENT_INC_000000	Option设定
IDS_CLIENT_PATCHCLIENT_INC_000001	测试伺服器
IDS_CLIENT_PATCHCLIENT_INC_000002	正式伺服器
IDS_CLIENT_PATCHCLIENT_INC_000003	Option
IDS_CLIENT_PATCHCLIENT_INC_000004	关闭
IDS_CLIENT_PATCHCLIENT_INC_000005	解析度
IDS_CLIENT_PATCHCLIENT_INC_000006	视野范围
IDS_CLIENT_PATCHCLIENT_INC_000007	像素品质
IDS_CLIENT_PATCHCLIENT_INC_000008	影子
IDS_CLIENT_PATCHCLIENT_INC_000009	物件表现水准
IDS_CLIENT_PATCHCLIENT_INC_000010	远
IDS_CLIENT_PATCHCLIENT_INC_000011	普通
IDS_CLIENT_PATCHCLIENT_INC_000012	近
IDS_CLIENT_PATCHCLIENT_INC_000013	高
IDS_CLIENT_PATCHCLIENT_INC_000014	低
IDS_CLIENT_PATCHCLIENT_INC_000015	必须安装DirectX 9
IDS_CLIENT_PATCHCLIENT_INC_000016	您所安装的Flyff发生问题，必须要重新安装。\n请在官方网站重新下载安装程式
IDS_CLIENT_PATCHCLIENT_INC_000017	伺服器维修中
IDS_CLIENT_PATCHCLIENT_INC_000018	正式伺服器与测试伺服器的版本有些差异，可能需要更新许多程式。\r\n要继续吗？
IDS_CLIENT_PATCHCLIENT_INC_000019	请检查网路状态或目前正在维修中
IDS_CLIENT_PATCHCLIENT_INC_000020	重新尝试失败
IDS_CLIENT_PATCHCLIENT_INC_000021	请重新执行更新的client程式。\r\n按下确认将会自动执行
