IDS_CLIENT_HELP_INC_000000	基本操作法
IDS_CLIENT_HELP_INC_000001	为了让您能够更容易更顺畅的进行Flyff，我们将移动、飞行、战斗、物品装备、捡取物品、丢弃物品、聊天、与NPC交易、玩家之间的交易等基本操作方法，做个详细的解说。希望各位玩家们都能够FLY FOR FUN！！
IDS_CLIENT_HELP_INC_000002	若想要了解更详细的内容，请到『http://www.omg.com.tw』参考飞飞Online游戏介绍。若游戏中遇到问题，可向游戏GM反应，或到网页上做问题回报。
IDS_CLIENT_HELP_INC_000003	休息
IDS_CLIENT_HELP_INC_000004	开启动作栏『热键O』后，双击坐下图示即可。（如果将坐下的动作设到综合热键栏里面，使用起来会更方便喔！），若要站起来可再点击坐下图示或直接攻击怪物即可。
IDS_CLIENT_HELP_INC_000005	移动
IDS_CLIENT_HELP_INC_000006	将滑鼠游标指到想要移动的地方后，点击滑鼠左键即可移动。您也可以直接按住滑鼠左键，角色就会往游标的方向移动。
IDS_CLIENT_HELP_INC_000007	用键盘移动之时，可利用键盘上的『W、A、S、D』键来移动，跳跃按空白键或是同时按滑鼠的两个键即可
IDS_CLIENT_HELP_INC_000008	视角
IDS_CLIENT_HELP_INC_000009	视角的变动可利用滑鼠滚轮或是右键操作。画面的放大缩小可使用滑鼠滚轮缩放，而视角的旋转可分为… 新版本：按住滑鼠右键后移动滑鼠。旧版本：按住滑鼠滚轮按钮后移动滑鼠。
IDS_CLIENT_HELP_INC_000010	视角的旋转也可使用键盘上的方向键操作。
IDS_CLIENT_HELP_INC_000011	飞行
IDS_CLIENT_HELP_INC_000012	按『空白键』即可启动飞行器，再按一次即可停止飞行。
IDS_CLIENT_HELP_INC_000013	按住滑鼠右键移动滑鼠，飞行器也会随著移动的方向前进。
IDS_CLIENT_HELP_INC_000014	点两次滑鼠右键后移动滑鼠，就会发现不点击右键也能使飞行器移动方向。
IDS_CLIENT_HELP_INC_000015	使用键盘上的『W、S、A、D』键，也能移动飞行器。
IDS_CLIENT_HELP_INC_000016	购买加速燃料后，补充一灌燃料并按下『X』键，就能启动加速飞行！若要停止加速飞行，可再按一次X键停止。
IDS_CLIENT_HELP_INC_000017	加速燃料可在航空站购买，飞行中补充加速燃料时，角色头上的血量表上方的加速表会变成黄色代表补满。
IDS_CLIENT_HELP_INC_000018	开始加速飞行时，加速表会开始闪烁，并开始消耗加速燃料。
IDS_CLIENT_HELP_INC_000019	飞行器
IDS_CLIENT_HELP_INC_000020	飞行器共有扫帚与滑板
IDS_CLIENT_HELP_INC_000021	角色等级到达20级之后才可飞行
IDS_CLIENT_HELP_INC_000022	飞行器可在航空站购买
IDS_CLIENT_HELP_INC_000023	
IDS_CLIENT_HELP_INC_000024	
IDS_CLIENT_HELP_INC_000025	
IDS_CLIENT_HELP_INC_000026	
IDS_CLIENT_HELP_INC_000027	
IDS_CLIENT_HELP_INC_000028	战斗
IDS_CLIENT_HELP_INC_000029	关於战斗时必须要了解的基本内容与一般攻击时出现的连续攻击种类，我们为您做个详细的说明。进行战斗时，将滑鼠游标移到要攻击的目标后，单击滑鼠左键，角色就会自动跑到目标身边攻击目标，双击即可锁定目标进行连续攻击。
IDS_CLIENT_HELP_INC_000030	在锁定攻击目标的状态下，单击滑鼠左键，可以进行攻击。
IDS_CLIENT_HELP_INC_000031	连续攻击必须使职业等级提升，才能够施展更多更强的招式。
IDS_CLIENT_HELP_INC_000032	近距离连续攻击
IDS_CLIENT_HELP_INC_000033	近距离连续攻击是指使用剑或斧之类的武器，来直接进行攻击的模式。
IDS_CLIENT_HELP_INC_000034	远距离连续攻击
IDS_CLIENT_HELP_INC_000035	远距离连续攻击是使用类似暗器类的发射性武器来进行的攻击模式。
IDS_CLIENT_HELP_INC_000036	魔法连续攻击
IDS_CLIENT_HELP_INC_000037	魔法连续攻击是使用法仗类的魔法道具进行攻击的模式。按住滑鼠左键可集气后发射魔法弹。
IDS_CLIENT_HELP_INC_000038	装备物品
IDS_CLIENT_HELP_INC_000039	武器类、防具类、装饰类的物品，可使用双击来装备物品。此时，物品将会自动装备在所属的部位上。如果该部位已装备其他物品，则会自动替换成最后选取的物品。
IDS_CLIENT_HELP_INC_000040	使用物品
IDS_CLIENT_HELP_INC_000041	直接在物品上双击滑鼠左键，即可使用物品。若想要移动物品，可使用滑鼠按住想要移动的物品后拖曳到想要放置的地方即可。此时若将物品拖曳到物品栏的外面，就会将物品丢弃到地上。
IDS_CLIENT_HELP_INC_000042	物品可从物品栏内拖曳到下方的热键栏中使用。若要移除热键栏中的物品，可直接在热键的物品上按滑鼠右键。
IDS_CLIENT_HELP_INC_000043	
IDS_CLIENT_HELP_INC_000044	聊天
