IDS_CLIENT_TREEHELP_INC_000000	自动解说
IDS_CLIENT_TREEHELP_INC_000001	显示
IDS_CLIENT_TREEHELP_INC_000002	隐藏
IDS_CLIENT_TREEHELP_INC_000003	基本操作法
IDS_CLIENT_TREEHELP_INC_000004	休息
IDS_CLIENT_TREEHELP_INC_000005	移动
IDS_CLIENT_TREEHELP_INC_000006	视角
IDS_CLIENT_TREEHELP_INC_000007	飞行
IDS_CLIENT_TREEHELP_INC_000008	飞行器
IDS_CLIENT_TREEHELP_INC_000009	飞行战斗
IDS_CLIENT_TREEHELP_INC_000010	战斗
IDS_CLIENT_TREEHELP_INC_000011	近距离连续攻击
IDS_CLIENT_TREEHELP_INC_000012	远距离连续攻击
IDS_CLIENT_TREEHELP_INC_000013	魔法连续攻击
IDS_CLIENT_TREEHELP_INC_000014	装备物品
IDS_CLIENT_TREEHELP_INC_000015	使用物品
IDS_CLIENT_TREEHELP_INC_000016	聊天
IDS_CLIENT_TREEHELP_INC_000017	与NPC交易
IDS_CLIENT_TREEHELP_INC_000018	交易
IDS_CLIENT_TREEHELP_INC_000019	任务
IDS_CLIENT_TREEHELP_INC_000020	介面
IDS_CLIENT_TREEHELP_INC_000021	状态视窗
IDS_CLIENT_TREEHELP_INC_000022	导航系统
IDS_CLIENT_TREEHELP_INC_000023	角色视窗
IDS_CLIENT_TREEHELP_INC_000024	物品栏
IDS_CLIENT_TREEHELP_INC_000025	技能视窗
IDS_CLIENT_TREEHELP_INC_000026	即时通
IDS_CLIENT_TREEHELP_INC_000027	任务视窗
IDS_CLIENT_TREEHELP_INC_000028	动作栏
IDS_CLIENT_TREEHELP_INC_000029	聊天视窗
IDS_CLIENT_TREEHELP_INC_000030	导航系统
IDS_CLIENT_TREEHELP_INC_000031	剧团视窗
IDS_CLIENT_TREEHELP_INC_000032	公会视窗
IDS_CLIENT_TREEHELP_INC_000033	影像&音响
IDS_CLIENT_TREEHELP_INC_000034	设定
IDS_CLIENT_TREEHELP_INC_000035	游戏选项
IDS_CLIENT_TREEHELP_INC_000036	公告事项
IDS_CLIENT_TREEHELP_INC_000037	辅助说明
IDS_CLIENT_TREEHELP_INC_000038	今日要诀
IDS_CLIENT_TREEHELP_INC_000039	FAQ
IDS_CLIENT_TREEHELP_INC_000040	结束游戏
IDS_CLIENT_TREEHELP_INC_000041	复活视窗
IDS_CLIENT_TREEHELP_INC_000042	交易视窗
IDS_CLIENT_TREEHELP_INC_000043	保管视窗
IDS_CLIENT_TREEHELP_INC_000044	个人商店
IDS_CLIENT_TREEHELP_INC_000045	热键栏
IDS_CLIENT_TREEHELP_INC_000046	开始目录
IDS_CLIENT_TREEHELP_INC_000047	系统热键
IDS_CLIENT_TREEHELP_INC_000048	综合热键
IDS_CLIENT_TREEHELP_INC_000049	技能热键
IDS_CLIENT_TREEHELP_INC_000050	技能热键的使用。
IDS_CLIENT_TREEHELP_INC_000051	技能热键连续使用
