IDS_CLIENT_FAQ_INC_000000	要如何复活？
IDS_CLIENT_FAQ_INC_000001	当人物死亡后，会出现复活视窗，选择『生命光柱』(Lodestar)能够在最近的城镇复活。要是受到辅助系角色的复活技能或是在物品栏内有“复活卷轴”，Original Place选单会活性化，并能够在原地复活。如果复活视窗没有跳出来时，可按『ESC』键叫出。
IDS_CLIENT_FAQ_INC_000002	怪物在那里？
IDS_CLIENT_FAQ_INC_000003	城镇的外面有凶猛的怪物出没，请多多注意唷！
IDS_CLIENT_FAQ_INC_000004	如何选定或取消目标呢？
IDS_CLIENT_FAQ_INC_000005	只要将滑鼠指著目标，点击滑鼠左键，就可选定目标，当目标选定后，再次点击滑鼠左键，即可开始攻击。若要取消被选定的目标，可按下键盘的『ESC』键
IDS_CLIENT_FAQ_INC_000006	如何进行连续攻击？
IDS_CLIENT_FAQ_INC_000007	等级上升时，攻击动作会随著阶段性不断的增加。按住滑鼠左键攻击目标时。就会使出连续攻击。
IDS_CLIENT_FAQ_INC_000008	如何使用技能？
IDS_CLIENT_FAQ_INC_000009	打开技能视窗『热键K』，并将技能视窗里面的技能图示，拖曳到画面右下方的技能热键栏中即可。使用技能时，选择怪物后，按下『C』键即可使用。可以将技能放入画面下方的热键视窗使用。旧版本使用滑鼠右键，新版本使用键盘的左边『Shift』键或是『C』键即可使用设定在技能栏中的技能。
IDS_CLIENT_FAQ_INC_000010	如何连续使用技能？
IDS_CLIENT_FAQ_INC_000011	想要连续使用技能时，可将自己想要使用的技能，依序放入画面右下角的技能热键栏中，使用技能时，会按照自己所设定的技能依序施展。但是设定拼图技能时，必须配合技能的招式，如 前段技能-> 中段技能 -> 后段技能 依序排列。
IDS_CLIENT_FAQ_INC_000012	食物无法将HP补满。
IDS_CLIENT_FAQ_INC_000013	用来恢复HP的物品会有恢复的上限值。请确定食物的恢复量后，选择适合自己HP的食物。
IDS_CLIENT_FAQ_INC_000014	如何转职？
IDS_CLIENT_FAQ_INC_000015	等级15级之后，可以去找各城镇的训练教官，接受转职任务。勇者、神职者要到布拉里斯市区的法小纪，魔法使要到圣因特的圣因特市区，杂技师要到得肯的多垦去接受任务。
IDS_CLIENT_FAQ_INC_000016	等级15级之后经验值不会累积了。
IDS_CLIENT_FAQ_INC_000017	等级到了15级之后，就无法再获得经验值了，必需要去执行第1次『转职任务』，在成功转职之后才能再继续获得经验值。等级15级之后，一定要去和想要转的职业的教官见面，并执行任务。
IDS_CLIENT_FAQ_INC_000018	等级15级之后没有新的技能了。
IDS_CLIENT_FAQ_INC_000019	在技能学习上，必须先满足可习得的角色等级及前置技能。所以无法习得技能时，请确定是否满足习得条件。
IDS_CLIENT_FAQ_INC_000020	飞行的条件是？
IDS_CLIENT_FAQ_INC_000021	等级到达20级之后，就会拥有1级的飞行等级。有了1级的飞行等级，就表示可以飞在天空了。但是想要飞行就必须拥有飞行器具(扫帚或是滑板)。您可以到航空站附近寻找经营飞行器具店的NPC购买。如果您在布拉里斯，建议您找宝雅小姐购买飞行器具。
IDS_CLIENT_FAQ_INC_000022	操作视角。
